"CONSOLE_SERVER","CONSOLE_TELNETPORT","SWITCH_IP","S6000-2_IP","S60_IP","S3148_IP","HOST_IP","HOST_INTERFACE","NETMASK","GATEWAY","VLAN","UNTAG","LAN PORT","LAN IP","LAN MASK","WAN PORT","WAN IP","WAN MASK"
"10.7.1.107","2026.0","10.7.20.18","10.7.20.22","10.7.20.10","10.7.20.14","10.7.100.60","X2","255.255.255.0","10.7.100.254","351.0","Gi 2/38","X0","2.1.1.1","255.0.0.0","X1","3.1.1.1","255.0.0.0"
"","","","","","","","","","","352.0","Gi 2/37","","","","","",""
